Estimated marginal difference in the mean number of rehospitalisations
after colon cancer surgery comparing patients treated with and without
chemo.

Estimates for males
    female chemo     t.stop        fit        lci        uci
66       0     0  984.84848 1.56007346 1.01866493 2.10148198
67       0     0 1000.00000 1.57226435 1.02792911 2.11659960
68       0     0 1015.15152 1.58433902 1.03709966 2.13157837
69       0     0 1030.30303 1.59629924 1.04617695 2.14642153
70       0     0 1045.45455 1.60814884 1.05516315 2.16113452
71       0     0 1060.60606 1.61989041 1.06405956 2.17572126
72       0     0 1075.75758 1.63152572 1.07286682 2.19018462
73       0     0 1090.90909 1.64305586 1.08158490 2.20452681
74       0     0 1106.06061 1.65448225 1.09021423 2.21875027
75       0     0 1121.21212 1.66580762 1.09875641 2.23285882
76       0     0 1136.36364 1.67703390 1.10721249 2.24685531
77       0     0 1151.51515 1.68816273 1.11558336 2.26074211
78       0     0 1166.66667 1.69919490 1.12386901 2.27452079
79       0     0 1181.81818 1.71013186 1.13207028 2.28819344
80       0     0 1196.96970 1.72097460 1.14018744 2.30176176
81       0     0 1212.12121 1.73172674 1.14822329 2.31523020
82       0     0 1227.27273 1.74238979 1.15617873 2.32860086
83       0     0 1242.42424 1.75296518 1.16405475 2.34187561
84       0     0 1257.57576 1.76345360 1.17185157 2.35505563
85       0     0 1272.72727 1.77385607 1.17956982 2.36814232
86       0     0 1287.87879 1.78417362 1.18721016 2.38113708
87       0     0 1303.03030 1.79440730 1.19477323 2.39404137
88       0     0 1318.18182 1.80456046 1.20226179 2.40685912
89       0     0 1333.33333 1.81463401 1.20967646 2.41959157
90       0     0 1348.48485 1.82462916 1.21701819 2.43224012
91       0     0 1363.63636 1.83454676 1.22428764 2.44480589
92       0     0 1378.78788 1.84438718 1.23148494 2.45728941
93       0     0 1393.93939 1.85415162 1.23861117 2.46969207
94       0     0 1409.09091 1.86384055 1.24566664 2.48201447
95       0     0 1424.24242 1.87345474 1.25265194 2.49425753
96       0     0 1439.39394 1.88299645 1.25956909 2.50642381
97       0     0 1454.54545 1.89246650 1.26641875 2.51851425
98       0     0 1469.69697 1.90186565 1.27320161 2.53052968
99       0     0 1484.84848 1.91119496 1.27991870 2.54247121
100      0     0 1500.00000 1.92045485 1.28657048 2.55433922
101      0     1    0.00000         NA         NA         NA
102      0     1   15.15152 0.04250631 0.01062873 0.07438390
103      0     1   30.30303 0.09174187 0.03525847 0.14822527
104      0     1   45.45455 0.13854574 0.06151347 0.21557801
105      0     1   60.60606 0.18183115 0.08732998 0.27633232
106      0     1   75.75758 0.22154377 0.11216177 0.33092578
107      0     1   90.90909 0.25789836 0.13585943 0.37993730
108      0     1  106.06061 0.29118697 0.15840453 0.42396941
109      0     1  121.21212 0.32170977 0.17982700 0.46359253
110      0     1  136.36364 0.34975012 0.20017487 0.49932536
111      0     1  151.51515 0.37556756 0.21950223 0.53163290
112      0     1  166.66667 0.39939456 0.23786368 0.56092545
113      0     1  181.81818 0.42143718 0.25531173 0.58756263
114      0     1  196.96970 0.44188513 0.27189773 0.61187253
115      0     1  212.12121 0.46094647 0.28768122 0.63421171
116      0     1  227.27273 0.47880942 0.30272234 0.65489651
117      0     1  242.42424 0.49563058 0.31707762 0.67418354
118      0     1  257.57576 0.51154067 0.33079984 0.69228151
119      0     1  272.72727 0.52664973 0.34393814 0.70936132
120      0     1  287.87879 0.54105090 0.35653806 0.72556373
121      0     1  303.03030 0.55482335 0.36864164 0.74100507
122      0     1  318.18182 0.56803496 0.38028761 0.75578232
123      0     1  333.33333 0.58074398 0.39151151 0.76997645
124      0     1  348.48485 0.59300010 0.40234570 0.78365450
125      0     1  363.63636 0.60484675 0.41281986 0.79687364
126      0     1  378.78788 0.61632268 0.42296153 0.80968383
127      0     1  393.93939 0.62746146 0.43279573 0.82212719
128      0     1  409.09091 0.63829312 0.44234554 0.83424070
129      0     1  424.24242 0.64884386 0.45163182 0.84605590
130      0     1  439.39394 0.65913781 0.46067404 0.85760158
131      0     1  454.54545 0.66919527 0.46948931 0.86890124
132      0     1  469.69697 0.67903567 0.47809384 0.87997751
133      0     1  484.84848 0.68867603 0.48650217 0.89084989
134      0     1  500.00000 0.69813110 0.49472718 0.90153501
135      0     1  515.15152 0.70741522 0.50278111 0.91204932
136      0     1  530.30303 0.71654114 0.51067493 0.92240735
137      0     1  545.45455 0.72551948 0.51841803 0.93262093
138      0     1  560.60606 0.73436099 0.52601950 0.94270247
139      0     1  575.75758 0.74307444 0.53348689 0.95266200
140      0     1  590.90909 0.75166537 0.54082533 0.96250540
141      0     1  606.06061 0.76013784 0.54803878 0.97223690
142      0     1  621.21212 0.76849598 0.55513097 0.98186098
143      0     1  636.36364 0.77674420 0.56210563 0.99138276
144      0     1  651.51515 0.78488684 0.56896630 1.00080738
145      0     1  666.66667 0.79292716 0.57571576 1.01013856
146      0     1  681.81818 0.80086847 0.58235672 1.01938022
147      0     1  696.96970 0.80871319 0.58889131 1.02853507
148      0     1  712.12121 0.81646529 0.59532252 1.03760806
149      0     1  727.27273 0.82412727 0.60165244 1.04660211
150      0     1  742.42424 0.83170233 0.60788352 1.05552114
151      0     1  757.57576 0.83919338 0.61401807 1.06436868
152      0     1  772.72727 0.84660204 0.62005759 1.07314649
153      0     1  787.87879 0.85393104 0.62600422 1.08185786
154      0     1  803.03030 0.86118182 0.63185936 1.09050428
155      0     1  818.18182 0.86835669 0.63762492 1.09908845
156      0     1  833.33333 0.87545861 0.64330322 1.10761400
157      0     1  848.48485 0.88248870 0.64889546 1.11608194
158      0     1  863.63636 0.88944899 0.65440342 1.12449457
159      0     1  878.78788 0.89634229 0.65982933 1.13285525
160      0     1  893.93939 0.90316965 0.66517440 1.14116490
161      0     1  909.09091 0.90993208 0.67043981 1.14942436
162      0     1  924.24242 0.91663170 0.67562743 1.15763598
163      0     1  939.39394 0.92326980 0.68073861 1.16580099
164      0     1  954.54545 0.92984711 0.68577443 1.17391980
165      0     1  969.69697 0.93636489 0.69073624 1.18199353
166      0     1  984.84848 0.94282580 0.69562627 1.19002533
 [ reached 'max' / getOption("max.print") -- omitted 234 rows ]
